id,symbol,timestamp,side,pnl,status
1,MES,2023-01-01 10:00:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.17}",0.0,FILLED
2,MES,2023-01-01 10:01:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.78}",0.0,FILLED
3,MES,2023-01-01 10:02:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.83}",0.0,FILLED
4,MES,2023-01-01 10:03:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.25}",0.0,FILLED
5,MES,2023-01-01 10:04:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.85}",0.0,FILLED
6,MES,2023-01-01 10:05:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.25}",0.0,FILLED
7,MES,2023-01-01 10:06:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.82}",0.0,FILLED
8,MES,2023-01-01 10:07:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.79}",0.0,FILLED
9,MES,2023-01-01 10:08:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.2}",0.0,FILLED
10,MES,2023-01-01 10:09:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.24}",0.0,FILLED
11,MES,2023-01-01 10:10:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.28}",0.0,FILLED
12,MES,2023-01-01 10:11:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.83}",0.0,FILLED
13,MES,2023-01-01 10:12:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.9}",0.0,FILLED
14,MES,2023-01-01 10:13:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.89}",0.0,FILLED
15,MES,2023-01-01 10:14:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.86}",0.0,FILLED
16,MES,2023-01-01 10:15:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.77}",0.0,FILLED
17,MES,2023-01-01 10:16:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.16}",0.0,FILLED
18,MES,2023-01-01 10:17:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.18}",0.0,FILLED
19,MES,2023-01-01 10:18:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.73}",0.0,FILLED
20,MES,2023-01-01 10:19:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.26}",0.0,FILLED
21,MES,2023-01-01 10:20:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.78}",0.0,FILLED
22,MES,2023-01-01 10:21:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.78}",0.0,FILLED
23,MES,2023-01-01 10:22:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.12}",0.0,FILLED
24,MES,2023-01-01 10:23:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.15}",0.0,FILLED
25,MES,2023-01-01 10:24:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.17}",0.0,FILLED
26,MES,2023-01-01 10:25:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.76}",0.0,FILLED
27,MES,2023-01-01 10:26:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.68}",0.0,FILLED
28,MES,2023-01-01 10:27:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.18}",0.0,FILLED
29,MES,2023-01-01 10:28:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.18}",0.0,FILLED
30,MES,2023-01-01 10:29:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.78}",0.0,FILLED
31,MES,2023-01-01 10:30:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.92}",0.0,FILLED
32,MES,2023-01-01 10:31:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.87}",0.0,FILLED
33,MES,2023-01-01 10:32:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.82}",0.0,FILLED
34,MES,2023-01-01 10:33:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.14}",0.0,FILLED
35,MES,2023-01-01 10:34:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.16}",0.0,FILLED
36,MES,2023-01-01 10:35:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.74}",0.0,FILLED
37,MES,2023-01-01 10:36:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.21}",0.0,FILLED
38,MES,2023-01-01 10:37:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.25}",0.0,FILLED
39,MES,2023-01-01 10:38:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.76}",0.0,FILLED
40,MES,2023-01-01 10:39:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.19}",0.0,FILLED
41,MES,2023-01-01 10:40:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.16}",0.0,FILLED
42,MES,2023-01-01 10:41:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.82}",0.0,FILLED
43,MES,2023-01-01 10:42:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.25}",0.0,FILLED
44,MES,2023-01-01 10:43:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.86}",0.0,FILLED
45,MES,2023-01-01 10:44:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.18}",0.0,FILLED
46,MES,2023-01-01 10:45:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.22}",0.0,FILLED
47,MES,2023-01-01 10:46:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.84}",0.0,FILLED
48,MES,2023-01-01 10:47:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.24}",0.0,FILLED
49,MES,2023-01-01 10:48:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.8}",0.0,FILLED
50,MES,2023-01-01 10:49:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.85}",0.0,FILLED
51,MES,2023-01-01 10:50:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.15}",0.0,FILLED
52,MES,2023-01-01 10:51:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.18}",0.0,FILLED
53,MES,2023-01-01 10:52:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.83}",0.0,FILLED
54,MES,2023-01-01 10:53:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.83}",0.0,FILLED
55,MES,2023-01-01 10:54:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.86}",0.0,FILLED
56,MES,2023-01-01 10:55:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.18}",0.0,FILLED
57,MES,2023-01-01 10:56:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.18}",0.0,FILLED
58,MES,2023-01-01 10:57:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.71}",0.0,FILLED
59,MES,2023-01-01 10:58:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.17}",0.0,FILLED
60,MES,2023-01-01 10:59:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.14}",0.0,FILLED
61,MES,2023-01-01 11:00:00+00:00,"{""side"": ""HOLD"", ""confidence"": 0.14}",0.0,FILLED
62,MES,2023-01-01 11:01:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.86}",0.0,FILLED
63,MES,2023-01-01 11:02:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.8}",0.0,FILLED
64,MES,2023-01-01 11:03:00+00:00,"{""side"": ""SHORT"", ""confidence"": 0.83}",0.0,FILLED
